Owners,AppID,Name,Type,Changed,Kinguin,Achievements
1.48%,1465480,Bloody Sand : The Gods Of Assyria,Purchase disabled,12/2021,,5
1.47%,12630,Legend: Hand of God,Delisted,12/2018,,0
1.47%,37700,Darkest of Days,Purchase disabled,08/2021,,0
1.47%,228060,Black Lake Prototype,Retail only,11/2012,,?
1.47%,228080,Hack n Slash Prototype,Retail only,11/2012,,?
1.47%,228100,Autonomous Prototype,Retail only,11/2012,,?
1.47%,250870,Pro Evolution Soccer 2014,Delisted,,,0
1.47%,907680,Wwbit,Purchase disabled,08/2018,,0
1.46%,333820,Out of the Park Baseball 16,Delisted,,,?
1.46%,466220,Kingdom of Loot,Purchase disabled,09/2018,13.61,0
1.46%,1422090,Sink Again,Purchase disabled,03/2022,,30
1.45%,35010,Batman: Arkham Asylum,Delisted,,3.21,?
1.45%,324450,Earth Under Siege,Delisted,05/2017,,37
1.45%,918130,Entre-Deux: Cursed,Purchase disabled,07/2020,,22
1.45%,376910,Hot Guns,Delisted,10/2017,,23
1.45%,805280,Dead Rain - New Zombie Virus,Purchase disabled,06/2020,,7
1.45%,1800330,Destiny?s Plan,Purchase disabled,08/2022,,?
1.44%,504360,Rage of the Battlemage,Delisted,07/2017,,?
1.44%,972170,Echo Of Soul,Purchase disabled,09/2020,,0
1.44%,1399650,EPEJSODION Dodgeball Defense,Purchase disabled,03/2022,,32
1.43%,32690,Joint Operations: Typhoon Rising,Delisted,,,?
1.43%,918120,A.L.A.N.: Rift Breakers,Purchase disabled,07/2020,,15
1.43%,941400,Scraps and Patches,Purchase disabled,02/2022,,?
1.43%,1488040,EPEJSODION Dodgeball Speed,Purchase disabled,03/2022,,40
1.43%,7060,Infernal,Delisted,,,?
1.43%,32700,Joint Operations: Escalation,Delisted,,,?
1.43%,404920,Emergency 2016,Purchase disabled,11/2019,,58
1.43%,925000,Impossible VR Ninja,F2P (unavailable),10/2018,,?
1.43%,1091100,Devil_catching_bees,Purchase disabled,05/2021,,?
1.43%,1297370,Zombies Don't Drive,Purchase disabled,05/2021,,8
1.43%,1600220,Lost Sunday Comics,Purchase disabled,02/2023,,?
1.43%,1683090,Auction,Purchase disabled,05/2022,,?
1.43%,1848300,The Home Of Closed Doors,Purchase disabled,04/2022,,?
1.43%,1880030,Math it Right 3D Adventure,Purchase disabled,02/2023,,?
1.42%,485630,Brazed,Purchase disabled,11/2018,,8
1.42%,504670,FARIA: Ghosts of the Stream,Purchase disabled,12/2018,,0
1.42%,1132510,Depixtion: Halloween,Purchase disabled,11/2020,,30
1.42%,1313560,Design girl team,Purchase disabled,02/2021,,10
1.42%,1926080,ENDRR,Purchase disabled,11/2023,,?
1.41%,225960,Costume Quest Prototype,Retail only,11/2012,,?
1.41%,293010,Caribbean!,Delisted,,,?
1.41%,293280,Wander,Delisted,08/2017,,31
1.41%,516450,Glory by Example,Purchase disabled,07/2021,,0
1.41%,688400,Geostorm,Purchase disabled,02/2021,,8
1.41%,1698680,LowPolyExplorer,Purchase disabled,03/2022,,0
1.40%,225940,Happy Song Prototype,Retail only,11/2012,,?
1.40%,233390,Cart Life,Delisted,,,?
1.40%,263440,Stomping Land,Delisted,,457.96,?
1.40%,421900,Shadowrun Chronicles: INFECTED Director's Cut,Purchase disabled,10/2018,,29
1.40%,422590,Wacky Wheels HD,Purchase disabled,05/2020,,8
1.40%,440280,Overpower,Purchase disabled,01/2022,,0
1.40%,548350,One Sole Purpose,Purchase disabled,07/2022,,11
1.40%,897950,King of the Dead,Purchase disabled,07/2021,,?
1.40%,1555130,Where Wind Becomes Quiet,Purchase disabled,02/2022,,11
1.40%,225120,BRAZEN Prototype,Retail only,11/2012,,?
1.40%,361800,Tree of Life,Purchase disabled,02/2021,110.36,0
1.40%,696260,Tree of Life - Experimental Server,Delisted,02/2021,,?
1.40%,709550,Tic Tac Toe Lounge,Purchase disabled,12/2022,,3
1.40%,1169690,Shadowplay: Metropolis Foe,Purchase disabled,05/2022,,42
1.40%,2100210,LEGENO SLAYER,Purchase disabled,09/2022,,10
1.39%,324280,A-Train 9 V3.0 : Railway Simulator,Delisted,,,?
1.39%,346150,Martial Law,Purchase disabled,10/2021,,0
1.39%,418210,Metal Tales: Fury of the Guitar Gods,Purchase disabled,05/2020,34.48,17
1.39%,1107170,Champions,Purchase disabled,04/2020,,0
1.38%,1054040,Warlander,Purchase disabled,10/2020,,40
1.38%,1079780,Dark Space Conqueror,Purchase disabled,09/2020,,?
1.38%,389040,Project Genom,Purchase disabled,11/2018,,70
1.38%,576320,Economic Conquest,Purchase disabled,11/2019,18.87,0
1.37%,367020,No One But You,Purchase disabled,04/2019,,18
1.37%,513140,OCCHIO,Purchase disabled,02/2021,,0
1.36%,552190,Pure Heart,Delisted,01/2017,,?
1.36%,764970,Bubble Struggle: Adventures,Purchase disabled,06/2019,,16
1.36%,1239430,Population Zero,Purchase disabled,10/2021,,0
1.36%,2166600,Dear Nostalgia,Purchase disabled,03/2023,,?
1.35%,694090,Apex Construct,Purchase disabled,06/2022,,15
1.35%,981670,Agent 9,Purchase disabled,01/2023,,16
1.35%,1555220,Artemishea,Purchase disabled,11/2022,,?
1.35%,297810,Landmark,Delisted,01/2017,,?
1.35%,488070,Escargot Kart,Purchase disabled,09/2019,,20
1.35%,851370,EXAELLA,Purchase disabled,08/2023,,0
1.35%,1282940,DesktopMMD,Delisted,05/2020,,0
1.34%,1146480,DriftWay,Purchase disabled,02/2021,,6
1.34%,1676030,SINGULARITY WORLD,Purchase disabled,07/2022,,?
1.33%,15220,Blazing Angels: Squadrons of WWII,Delisted,,,0
1.33%,426750,Yooka-Laylee - Toybox,Pre-order exclusive,04/2017,,?
1.33%,458190,VR0GU3,Purchase disabled,05/2021,,0
1.33%,877730,Deadly Silence,Purchase disabled,12/2021,,?
1.33%,1182680,The Last Pixel,Purchase disabled,09/2020,,6
1.33%,1353540,Planetary Gravity,Purchase disabled,06/2021,,?
1.33%,1450610,Punch the Potus,Purchase disabled,09/2021,,?
1.32%,371810,Dreaming,Delisted,04/2017,,?
1.32%,911020,MODSORK Open Alpha Weekend,F2P (unavailable),08/2018,,?
1.31%,889750,BABYLON'S FALL,Purchase disabled,09/2022,,?
1.31%,1036320,Once Upon A Death,Purchase disabled,01/2022,,16
1.31%,1196380,Automaton,Purchase disabled,02/2022,,7
1.30%,9400,Juiced 2: Hot Import Nights,Delisted,,,0
1.30%,11920,Lumines: Advanced Pack,Purchase disabled,06/2018,,0
1.30%,412720,SMASH+GRAB,Delisted,06/2017,,41
1.30%,913840,Super Frog's Quest,Purchase disabled,09/2022,,?
1.30%,930460,BOLSOMITO,Purchase disabled,01/2019,,20
1.29%,1072490,KiKiMiMi/ ??????,Purchase disabled,09/2023,,12
1.29%,2012160,Stranded Nightmare,Purchase disabled,02/2023,,?
1.28%,346760,ProtoMasons,Purchase disabled,05/2019,,24
1.28%,1078550,Voltron: Cubes of Olkarion,Purchase disabled,10/2022,,19
1.28%,1648470,????,Purchase disabled,09/2023,,2
1.27%,912020,Deadly Curse,Purchase disabled,12/2021,,?
1.27%,949930,HEAVEN AND HELL - the last war,Purchase disabled,10/2022,,?
1.27%,979990,Ancient Frontier: Steel Shadows BETA,F2P (unavailable),12/2018,,?
1.27%,1178330,????-Girlfriend invites,Purchase disabled,02/2020,,0
1.27%,1179440,Disaster Dragon x Girls from Different Worlds,Purchase disabled,05/2021,,?
1.27%,1406710,Smoop Can't Sleep!,Purchase disabled,05/2023,,23
1.27%,2203030,Girl Fantasy,Purchase disabled,05/2023,,?
1.27%,9740,Indigo Prophecy,Delisted,,,0
1.27%,831530,SRC: Sprint Robot Championship,Purchase disabled,05/2023,,31
1.26%,396390,Barbie and Her Sisters Puppy Rescue,Delisted,04/2017,,20
1.26%,612810,VALIANT KNIGHTS Typing Battle,Purchase disabled,04/2019,,11
1.26%,949510,Deadly Curse: Insane Nightmare,Purchase disabled,12/2021,,?
1.26%,1285540,Aldroy - Chapter 1,Purchase disabled,02/2023,,64
1.25%,1800690,The Piano That Stops Time,Purchase disabled,01/2023,,?
1.25%,377890,Blue Libra,Purchase disabled,09/2021,,9
1.24%,282960,The Sands Whisper Your Name,Purchase disabled,,,0
1.24%,816220,Analistica Academy,Purchase disabled,08/2022,,0
1.24%,1221290,Ice Maze,Purchase disabled,09/2023,,14
1.24%,1388090,Line Dots,Purchase disabled,10/2023,,17
1.23%,270030,Snow Horse,Purchase disabled,09/2023,,0
1.23%,322780,Worlds Adrift,Purchase disabled,05/2019,29.78,0
1.23%,1046330,BUTCHERBOX,Purchase disabled,10/2019,,0
1.23%,1598840,Northern Blades,Purchase disabled,09/2022,,?
1.23%,1853780,FPS Seduce - Hentai,Purchase disabled,03/2023,,14
1.23%,1859310,C.O.D.E.R.E.D,Purchase disabled,12/2022,,?
1.22%,10660,Stormrise,Retail only,,,?
1.22%,214400,American Mensa Academy,Delisted,,1113.42,?
1.22%,333830,Franchise Hockey Manager 2,Delisted,12/2017,,0
1.22%,398020,Colony Assault,Purchase disabled,12/2020,,35
1.22%,523810,Wonder Boy Returns,Purchase disabled,05/2019,,9
1.22%,584080,Proton Ball,F2P (unavailable),05/2023,,?
1.22%,751180,Melodic Riddle,Delisted,12/2017,,?
1.22%,1713450,Cat Jump,Purchase disabled,12/2022,,?
1.22%,1739010,Out of the Park Baseball 23,Purchase disabled,03/2023,,169
1.22%,444950,Let's Eat! Seaside Cafe,Purchase disabled,04/2022,,0
1.22%,615000,Totally Accurate Battle Zombielator,Retail only,04/2017,,?
1.22%,811690,It's A Racing Game,Purchase disabled,09/2022,,3
1.22%,1322330,Salvage,Purchase disabled,05/2021,,?
1.22%,1368840,Battle of Hunters : Beast Zone,Purchase disabled,04/2022,,0
1.21%,390070,Estetiikka,Delisted,,,?
1.21%,841570,BlindMaze,Purchase disabled,08/2022,,36
1.21%,1562040,LuvSic,Purchase disabled,09/2021,,11
1.20%,23140,KrissX,Delisted,,,?
1.20%,274450,The Powerpuff Girls: Defenders of Townsville,Delisted,,,19
1.20%,397420,Hoyle Official Card Games Collection,Purchase disabled,07/2018,,0
1.20%,773000,#,Unreleased,01/2018,,?
1.20%,809280,Grimmwood,Purchase disabled,07/2019,24.53,54
1.20%,982770,Hir Corruption,Purchase disabled,07/2020,,23
1.20%,1343130,The Last Bug,Purchase disabled,04/2021,,61
1.20%,1350530,Xmas Presents,Purchase disabled,05/2021,,?
1.20%,1448460,Diodius ~PREMONITION~,Purchase disabled,03/2022,,43
1.20%,61000,DCS: Black Shark,Delisted,,,?
1.20%,329610,R.B.I. Baseball 15,Purchase disabled,03/2020,,0
1.20%,816120,First Winter,Purchase disabled,06/2020,,12
1.20%,1068130,Hippo eating banana,Purchase disabled,07/2021,,?
1.20%,1350810,Total Rendition,Purchase disabled,10/2023,,?
1.20%,1393660,Rising Constellation,Purchase disabled,06/2023,,?
1.20%,1465160,Lantern Light VR,Purchase disabled,09/2022,,?
1.20%,1673450,Geisterland,Purchase disabled,08/2023,,?
1.19%,1045400,YGGDRASIL JIGSAW PUZZLE,Purchase disabled,11/2023,,17
1.19%,1514980,Kingdom Builders,Purchase disabled,01/2022,,?
1.18%,21730,CSI: Hard Evidence,Delisted,05/2015,394.93,0
1.18%,530560,STEAM HAMMER,Purchase disabled,02/2019,10.77,34
1.18%,1256480,A Siren's Call,Purchase disabled,06/2022,,?
1.18%,1395060,EQ - Countries,F2P (unavailable),01/2023,,100
1.18%,1956830,The Bathhouse | ????,Purchase disabled,03/2023,,?
1.17%,2930,Birth Of America,Delisted,,,?
1.17%,397150,Stellar Overload,Purchase disabled,11/2018,,0
1.17%,1085010,Make a Killing,Purchase disabled,08/2023,,32
1.17%,437510,Ben 10 Game Generator 5D,Delisted,04/2018,,?
1.17%,612670,Moonfall,Purchase disabled,08/2018,,18
1.17%,2059730,Dare to Stay,Purchase disabled,06/2023,,?
1.16%,443890,BUCK: Saturday Morning Cartoon Apocalypse,Purchase disabled,02/2021,,0
1.16%,614970,Qbike: Cyberpunk Motorcycles,Purchase disabled,09/2021,,19
1.16%,683910,System Siege,Purchase disabled,03/2021,,0
1.16%,713610,Qbike: Crypto Motorcycles,Purchase disabled,09/2021,,19
1.16%,1001950,There Was A Dream,Purchase disabled,04/2021,,?
1.16%,1032020,Shantalia and Corali'hulu,Purchase disabled,07/2020,,2
1.16%,2011030,Atria,Purchase disabled,05/2023,,1
1.15%,840370,Someday You'll Return,Delisted,03/2023,,48
1.15%,1149430,KiKiMiMi2 / ??????2,Purchase disabled,09/2023,,14
1.15%,1198550,Moderium,Purchase disabled,10/2021,,?
1.15%,468540,Match More,Purchase disabled,12/2020,,0
1.15%,507300,Club Manager 2017,Purchase disabled,12/2020,21.33,0
1.15%,735700,How To Meat People,Purchase disabled,08/2021,,26
1.15%,786400,Element Industry,Purchase disabled,04/2020,,0
1.15%,909490,Hipster Attack,Purchase disabled,07/2022,,12
1.15%,924660,RollerPlay,Purchase disabled,02/2021,,7
1.15%,1002610,Snowed IN,Purchase disabled,03/2021,,9
1.15%,1054310,Fade Out,Purchase disabled,11/2023,,?
1.15%,1504690,Cassidy,Purchase disabled,12/2021,,?
1.14%,369390,Scourge of War: Waterloo,Purchase disabled,09/2022,,0
1.14%,747110,Kamboja,Purchase disabled,05/2023,,0
1.14%,775800,Ling,Purchase disabled,02/2019,3.09,19
1.14%,904170,Never Breakup,Delisted,08/2019,,?
1.14%,1018980,VKT Prime System Crash,Purchase disabled,07/2020,,16
1.14%,1305120,The Lost Legends of Redwall: The Scout Act 2,Purchase disabled,09/2023,,41
1.14%,1408540,??????????,Purchase disabled,06/2021,,42
1.14%,1433410,Tetracosm,Purchase disabled,03/2023,,30
1.14%,1466930,Survival Quiz CITY,Purchase disabled,09/2023,,?
1.13%,551690,Counter Fight,Purchase disabled,09/2023,,0
1.13%,889040,FPV Air 2,Purchase disabled,06/2022,,0
1.13%,1980490,Speedway Challenge 2022,Purchase disabled,11/2023,,?
1.12%,709900,Deep Dark Fantasies,Delisted,10/2018,,0
1.12%,1078560,Turok: Escape from Lost Valley,Purchase disabled,01/2022,,14
1.12%,252690,Fantasy Grounds Classic,Purchase disabled,10/2022,,0
1.12%,321410,Command: Modern Air / Naval Operations WOTY,Purchase disabled,11/2019,15.67,0
1.12%,402630,The Coma,Purchase disabled,09/2017,,0
1.12%,529000,Bad ass babes,Delisted,03/2020,,0
1.12%,598670,Otome Romance Jigsaws - Midnight Cinderella & Destined to Love,Purchase disabled,03/2019,,17
1.12%,667520,Flight Unlimited 2K18,Delisted,04/2020,,0
1.12%,702600,Indygo,Purchase disabled,09/2018,,17
1.12%,843650,Sophont,Purchase disabled,07/2022,,?
1.12%,880470,Pro Basketball Manager 2019,Purchase disabled,07/2022,,46
1.12%,1111330,Rolling Rumble,Purchase disabled,02/2023,,12
1.12%,2090500,"DON'T STOP, YOU'LL DIE!",Purchase disabled,11/2023,,?
1.11%,424020,EEP 12,Delisted,03/2017,,?
1.11%,555070,Overload Multiplayer Beta,Test app,05/2018,,?
1.11%,2267350,Forkscythe,Purchase disabled,07/2023,,?
1.10%,23510,Texas Cheat'Em,Delisted,,,12
1.10%,847870,Monster Truck Drive,Purchase disabled,02/2020,,0
1.10%,1271930,Zango's Shark Adventure,Purchase disabled,07/2022,,?
1.10%,1904260,Anime Manga Style Girl - Color By Number Pixel Art Coloring,Purchase disabled,08/2022,,?
1.09%,551740,Depression,Delisted,01/2017,233.42,?
1.09%,1219840,Defend Home,Purchase disabled,06/2021,,?
1.09%,1401080,Starmind,Purchase disabled,10/2022,,?
1.09%,1590790,Killer Motive,Purchase disabled,10/2023,,?
1.09%,71320,Football Manager 2012 Russian,Retail only,,55.63,?
1.09%,324050,Farm Mechanic Simulator 2015,Purchase disabled,03/2020,1.18,0
1.09%,1041400,Fight Angel,Purchase disabled,12/2019,,8
1.09%,1048170,Latangerine Last Journey,Purchase disabled,07/2020,,4
1.09%,1168290,TD Heroes,Purchase disabled,09/2022,,6
1.09%,1564180,Steel Nations,Purchase disabled,01/2023,,?
1.09%,1691760,Survival Escape Room,Purchase disabled,07/2022,,?
1.08%,1121250,ChatAid,Purchase disabled,07/2020,,17
1.08%,1358570,Fort Golf,Purchase disabled,05/2023,,10
1.08%,1796230,?????,F2P (unavailable),05/2023,,?
1.07%,23130,Mole Control,Delisted,,,?
1.07%,385190,Celestial Tear: Demon's Revenge,Purchase disabled,01/2018,,0
1.07%,791500,Mahjong Riichi Multiplayer,Purchase disabled,11/2019,,19
1.07%,1215480,Torchlight III (Beta),F2P (unavailable),01/2020,,?
1.07%,361370,Deer Hunter: Reloaded,Purchase disabled,02/2020,,28
1.07%,506570,Going Up,Purchase disabled,12/2020,,9
1.07%,1286640,Suli Fallen Harmony,Purchase disabled,08/2022,,20
1.07%,1634320,Archon-9 : Alien Defense,Purchase disabled,03/2022,,28
1.07%,1777120,STIX: Combat Devolved,Purchase disabled,01/2023,,?
1.06%,39710,Line Rider 2: Unbound,Delisted,,,?
1.06%,216610,Football Manager 2013 Russian,Delisted,,47.27,?
1.06%,593210,Counter Fight: Samurai Edition,Purchase disabled,09/2023,,0
1.06%,1090370,Aozora Under Girls - Karisome Irony,Purchase disabled,04/2021,,?
1.06%,1105150,Reverse Me! Rez/Ru,Purchase disabled,07/2020,,6
1.06%,1743460,YEOLLEB Warrior,Purchase disabled,01/2023,,52
1.05%,222820,Emergency 2013,Purchase disabled,11/2019,,0
1.05%,245350,Metro Last Light JP,Retail only,,,?
1.05%,319750,Project D Online,Delisted,12/2014,,?
1.05%,350540,Helicopter 2015: Natural Disasters,Purchase disabled,03/2020,1.64,0
1.05%,627220,Food Truck VR,Purchase disabled,01/2022,,10
1.05%,1377950,Flappy Bee,Purchase disabled,08/2023,,?
1.04%,38240,Horrid Henry,Delisted,,917.68,0
1.04%,449830,Muv-Luv,Delisted,01/2018,,15
1.04%,658360,SUMMER VACATION,Purchase disabled,06/2022,,15
1.04%,771320,Amazing Trivia,Purchase disabled,11/2018,,15
1.04%,935540,M-Plan,Purchase disabled,09/2022,,9
1.04%,1082240,Taboos: Flower,Purchase disabled,05/2023,,100
1.04%,1142550,Protein for Muscle,Purchase disabled,01/2022,,?
1.04%,1564850,Bed Survival!,Purchase disabled,07/2023,,?
1.04%,12190,Wild Metal Country,Delisted,,,?
1.04%,297270,Exodus Wars: Fractured Empire,Delisted,04/2018,,0
1.04%,436680,A More Beautiful World - A Visual Novel,Purchase disabled,01/2022,,0
1.04%,982440,Slightly Heroes VR,Purchase disabled,01/2020,,0
1.04%,1101910,Warriors: Rise to Glory! Online Multiplayer Open Beta,Test app,10/2021,,?
1.04%,1305130,The Lost Legends of Redwall: The Scout Act 3,Purchase disabled,09/2023,,43
1.04%,1332850,Pixel Bombs,Purchase disabled,03/2021,,?
1.04%,1482710,Samurai Revenge,Purchase disabled,06/2021,,?
1.04%,1509340,The song of Star night,Purchase disabled,11/2023,,?
1.03%,410570,Gunjack,Purchase disabled,07/2022,,12
1.03%,426240,Caretaker Sacrifice,Purchase disabled,02/2020,,0
1.03%,430440,Of Kings And Men,Delisted,01/2018,,?
1.02%,465430,Vertigo,Purchase disabled,06/2020,,0
1.02%,565410,World of Darkness Preludes: Vampire and Mage,Delisted,06/2019,,0
1.02%,1088400,Dungeon Maze,Delisted,08/2019,,14
1.02%,334750,Farm Expert 2016,Purchase disabled,03/2020,2.48,0
1.02%,368790,OreLight,Delisted,06/2017,,10
1.02%,689160,Eruption,Purchase disabled,07/2020,,51
1.02%,1353180,AIDA: The Beginning of the Story,Purchase disabled,10/2022,,?
1.01%,211140,DYNASTY WARRIORS 7 with Xtreme Legends,Retail only,,,0
1.01%,659120,Survive,Purchase disabled,02/2019,,0
1.01%,789240,The Day I Died,Purchase disabled,11/2021,,11
1.01%,1028160,222,Purchase disabled,08/2019,,0
1.01%,1564410,Zerone 2D,Purchase disabled,03/2023,,13
1.00%,646210,The Mind's Eclipse,Purchase disabled,08/2019,,9
1.00%,728630,Cardboard Wars,Purchase disabled,01/2022,,12
0.99%,224740,Clockwork Empires,Purchase disabled,05/2019,,46
0.99%,485270,Arachnophobia,Purchase disabled,07/2023,,0
0.99%,491670,Stratego© Single Player,Purchase disabled,10/2023,,41
0.99%,710240,Interworlds,Purchase disabled,10/2022,,0
0.99%,743320,BATALJ Beta,Test app,11/2021,,?
0.99%,1064930,Divine D.I.V.A.,Purchase disabled,07/2020,,15
0.99%,1148630,Hot Takes,Purchase disabled,07/2020,,22
0.99%,617230,Trapped Within,Purchase disabled,10/2022,,0
0.99%,1097400,Warhead Destined,Purchase disabled,10/2019,,6
0.99%,1414600,Buzzle,Purchase disabled,10/2022,,9
0.99%,1491290,Discover,Purchase disabled,04/2021,,?
0.98%,580510,Mr. Donovan,Purchase disabled,10/2023,,18
0.98%,1419430,Magic Ocean - Multiplayer Roguelike,Purchase disabled,06/2021,,?
0.98%,1558290,Rise of Mavros,Purchase disabled,09/2022,,?
0.98%,1773830,Megacraft Hentai And Zombies,Purchase disabled,08/2023,,10
0.97%,416090,Caretaker Retribution,Purchase disabled,02/2020,,5
0.97%,702270,DevWill,Purchase disabled,08/2022,,0
0.97%,1015820,Deadly Kingdom,Purchase disabled,12/2021,,?
0.97%,1077330,Ivanoile ~ Christalixeur Corruption,Purchase disabled,07/2020,,28
0.97%,1671500,Ancient Huntsmen,Purchase disabled,10/2022,,?
0.97%,1889670,My Destiny,Purchase disabled,12/2022,,?
0.97%,243560,Adventure Time: Explore the Dungeon Because I DON?T KNOW!,Delisted,12/2016,,46
0.97%,370160,Front Wars,Purchase disabled,09/2023,,0
0.97%,496510,M.EXE,Purchase disabled,11/2020,,0
0.97%,842640,Deadly Tropics,Purchase disabled,11/2019,,15
0.97%,978360,Hentai Heroes,Delisted,12/2018,,?
0.97%,1070950,????,Purchase disabled,04/2022,,?
0.96%,224440,Folk Tale,Purchase disabled,06/2017,,0
0.96%,884340,Hold Out,Purchase disabled,02/2023,,?
0.96%,1566720,????,Purchase disabled,07/2022,,?
0.95%,15140,Petz Dogz 2,Delisted,,,?
0.95%,497440,HOMEBOUND,Purchase disabled,10/2019,,0
0.95%,831180,Pixel Beef Battle,Purchase disabled,04/2020,,13
0.95%,1143470,Vengeance ~ In my family's name,Purchase disabled,07/2020,,2
0.95%,1520670,Escape of Pinball,Purchase disabled,02/2021,,?
0.95%,2131000,Five Nights With Firearms,Delisted,10/2022,,?
0.95%,2315040,???????,F2P (unavailable),07/2023,,?
0.94%,404550,Farmocalypse,Purchase disabled,11/2020,,0
0.94%,710400,TERRAGEARTH,Purchase disabled,08/2023,,0
0.94%,1009210,Trikumax,Purchase disabled,04/2021,,?
0.94%,1204560,Photos,Purchase disabled,01/2020,,16
0.94%,1268150,Low Poly Forces,Purchase disabled,04/2023,,2
0.94%,1496500,Pan-Arcade Airlines,Purchase disabled,11/2023,,?
0.94%,1518540,SHOOTERBALL,Purchase disabled,02/2022,,?
0.94%,50120,MLB 2K10,Delisted,,,0
0.94%,355330,Construction Machines Simulator 2016,Purchase disabled,02/2021,7.03,?
0.94%,807920,Onii-Chan,Purchase disabled,10/2019,,4
0.94%,872400,Capsella The Lights of Lucern,Purchase disabled,03/2023,,0
0.94%,1128200,Ginga Kagekidan - ?????????,Purchase disabled,04/2021,,?
0.94%,1252760,Ancient charm,Purchase disabled,02/2021,,20
0.94%,1364000,Hanefield Asylum,Purchase disabled,07/2023,,?
0.94%,1430360,Take the Throne,Unreleased,01/2022,,?
0.94%,2093100,??????????,Purchase disabled,07/2023,,?
0.93%,370840,Rugby Challenge 3,Purchase disabled,01/2023,,50
0.93%,568250,Wanderer: The Rebirth,Purchase disabled,07/2021,1.53,0
